id,store_id,product_id,description,raw_data,source_page,scraped_at
271751,paodeacucar,177670,Biscoito Recheio Chocolate Passatempo Pacote 130g,"{""id"": 177670, ""stock"": true, ""priceType"": ""O"", ""price"": 2.79, ""priceFrom"": 4.39, ""productPromotions"": [{""startDate"": ""2026-07-13T09:02:08.981503"", ""endDate"": ""2026-07-15T09:02:08.981503"", ""promotionSealColor"": ""AMARELO"", ""department"": null, ""percentDiscount"": null, ""paymentFormName"": null, ""promotionQuantityBuy"": null, ""promotionQuantityPayFor"": null, ""promotionNominalPrice"": null, ""unitPrice"": 2.79, ""ruleId"": null, ""promotionPercentOffOnUnity"": 1, ""promotionPercentOff"": 36, ""subscriptionPrice"": null, ""appExclusive"": false, ""specialPageUrl"": null, ""isHeterogeneousPromotion"": null}], ""productPromotion"": {""startDate"": ""2026-07-13T09:02:08.981503"", ""endDate"": ""2026-07-15T09:02:08.981503"", ""promotionSealColor"": ""AMARELO"", ""department"": null, ""percentDiscount"": null, ""paymentFormName"": null, ""promotionQuantityBuy"": null, ""promotionQuantityPayFor"": null, ""promotionNominalPrice"": null, ""unitPrice"": 2.79, ""ruleId"": null, ""promotionPercentOffOnUnity"": 1, ""promotionPercentOff"": 36, ""subscriptionPrice"": null, ""appExclusive"": false, ""specialPageUrl"": null, ""isHeterogeneousPromotion"": null}, ""sku"": ""5263523"", ""brand"": ""PASSATEMPO"", ""productImages"": [""/img/uploads/1/6/33068006.png""], ""urlDetails"": ""https://www.paodeacucar.com/produto/177670/biscoito-recheio-chocolate-passatempo-pacote-130g"", ""name"": ""Biscoito Recheio Chocolate Passatempo Pacote 130g"", ""attributes"": {}, ""sellerName"": ""Pão de Açúcar"", ""storeId"": 461, ""sellType"": ""1P"", ""fromCDNal"": false, ""variableWeight"": false}",1,2026-07-14T12:02:53.826305+00:00
271752,paodeacucar,74949,Refrigerante sem Açúcar Coca-Cola Lata 350ml,"{""id"": 74949, ""stock"": true, ""priceType"": ""O"", ""price"": 3.79, ""priceFrom"": 4.59, ""productPromotions"": [{""startDate"": ""2026-07-13T09:02:08.980311"", ""endDate"": ""2026-07-15T09:02:08.980311"", ""promotionSealColor"": ""AMARELO"", ""department"": null, ""percentDiscount"": null, ""paymentFormName"": null, ""promotionQuantityBuy"": null, ""promotionQuantityPayFor"": null, ""promotionNominalPrice"": null, ""unitPrice"": 3.79, ""ruleId"": null, ""promotionPercentOffOnUnity"": 1, ""promotionPercentOff"": 17, ""subscriptionPrice"": null, ""appExclusive"": false, ""specialPageUrl"": null, ""isHeterogeneousPromotion"": null}], ""productPromotion"": {""startDate"": ""2026-07-13T09:02:08.980311"", ""endDate"": ""2026-07-15T09:02:08.980311"", ""promotionSealColor"": ""AMARELO"", ""department"": null, ""percentDiscount"": null, ""paymentFormName"": null, ""promotionQuantityBuy"": null, ""promotionQuantityPayFor"": null, ""promotionNominalPrice"": null, ""unitPrice"": 3.79, ""ruleId"": null, ""promotionPercentOffOnUnity"": 1, ""promotionPercentOff"": 17, ""subscriptionPrice"": null, ""appExclusive"": false, ""specialPageUrl"": null, ""isHeterogeneousPromotion"": null}, ""sku"": ""4347118"", ""brand"": ""Coca-Cola"", ""productImages"": [""/img/uploads/1/848/33062848.png""], ""urlDetails"": ""https://www.paodeacucar.com/produto/74949/refrigerante-sem-acucar-coca-cola-lata-350ml"", ""name"": ""Refrigerante sem Açúcar Coca-Cola Lata 350ml"", ""attributes"": {}, ""sellerName"": ""Pão de Açúcar"", ""storeId"": 461, ""sellType"": ""1P"", ""fromCDNal"": false, ""variableWeight"": false}",1,2026-07-14T12:02:53.826305+00:00
271753,paodeacucar,452867,Milho Verde em Conserva Quero Lata 170g,"{""id"": 452867, ""stock"": true, ""priceType"": ""O"", ""price"": 3.89, ""priceFrom"": 4.99, ""productPromotions"": [{""startDate"": ""2026-07-13T09:02:08.985239"", ""endDate"": ""2026-07-15T09:02:08.985239"", ""promotionSealColor"": ""AMARELO"", ""department"": null, ""percentDiscount"": null, ""paymentFormName"": null, ""promotionQuantityBuy"": null, ""promotionQuantityPayFor"": null, ""promotionNominalPrice"": null, ""unitPrice"": 3.89, ""ruleId"": null, ""promotionPercentOffOnUnity"": 1, ""promotionPercentOff"": 22, ""subscriptionPrice"": null, ""appExclusive"": false, ""specialPageUrl"": null, ""isHeterogeneousPromotion"": null}], ""productPromotion"": {""startDate"": ""2026-07-13T09:02:08.985239"", ""endDate"": ""2026-07-15T09:02:08.985239"", ""promotionSealColor"": ""AMARELO"", ""department"": null, ""percentDiscount"": null, ""paymentFormName"": null, ""promotionQuantityBuy"": null, ""promotionQuantityPayFor"": null, ""promotionNominalPrice"": null, ""unitPrice"": 3.89, ""ruleId"": null, ""promotionPercentOffOnUnity"": 1, ""promotionPercentOff"": 22, ""subscriptionPrice"": null, ""appExclusive"": false, ""specialPageUrl"": null, ""isHeterogeneousPromotion"": null}, ""sku"": ""1208421"", ""brand"": ""QUERO"", ""productImages"": [""/img/uploads/1/645/33078645.png"", ""/img/uploads/1/646/33078646.png""], ""urlDetails"": ""https://www.paodeacucar.com/produto/452867/milho-verde-em-conserva-quero-lata-170g"", ""name"": ""Milho Verde em Conserva Quero Lata 170g"", ""attributes"": {}, ""sellerName"": ""Pão de Açúcar"", ""storeId"": 461, ""sellType"": ""1P"", ""fromCDNal"": false, ""variableWeight"": false}",1,2026-07-14T12:02:53.826305+00:00
271754,paodeacucar,286674,Ketchup Hellmanns Tradicional 380g,"{""id"": 286674, ""stock"": true, ""priceType"": ""P"", ""price"": 15.99, ""productPromotions"": [{""startDate"": ""2026-07-01T00:00:00"", ""endDate"": ""2026-07-14T23:59:00"", ""promotionSealColor"": ""AMARELO"", ""department"": null, ""percentDiscount"": null, ""paymentFormName"": null, ""promotionQuantityBuy"": null, ""promotionQuantityPayFor"": null, ""promotionNominalPrice"": null, ""unitPrice"": 12.79, ""ruleId"": 162478, ""promotionPercentOffOnUnity"": 1, ""promotionPercentOff"": 20, ""subscriptionPrice"": null, ""appExclusive"": false, ""specialPageUrl"": """", ""isHeterogeneousPromotion"": false}], ""productPromotion"": {""startDate"": ""2026-07-01T00:00:00"", ""endDate"": ""2026-07-14T23:59:00"", ""promotionSealColor"": ""AMARELO"", ""department"": null, ""percentDiscount"": null, ""paymentFormName"": null, ""promotionQuantityBuy"": null, ""promotionQuantityPayFor"": null, ""promotionNominalPrice"": null, ""unitPrice"": 12.79, ""ruleId"": 162478, ""promotionPercentOffOnUnity"": 1, ""promotionPercentOff"": 20, ""subscriptionPrice"": null, ""appExclusive"": false, ""specialPageUrl"": """", ""isHeterogeneousPromotion"": false}, ""sku"": ""1031209"", ""brand"": ""Hellmanns"", ""productImages"": [""/img/uploads/1/534/33078534.png"", ""/img/uploads/1/535/33078535.png"", ""/img/uploads/1/536/33078536.png"", ""/img/uploads/1/537/33078537.png""], ""urlDetails"": ""https://www.paodeacucar.com/produto/286674/ketchup-hellmanns-tradicional-380g"", ""name"": ""Ketchup Hellmanns Tradicional 380g"", ""attributes"": {}, ""sellerName"": ""Pão de Açúcar"", ""storeId"": 461, ""sellType"": ""1P"", ""fromCDNal"": false, ""variableWeight"": false}",1,2026-07-14T12:02:53.826305+00:00
271755,paodeacucar,477681,Batata Palha Extrafina Yoki Sachê 100g,"{""id"": 477681, ""stock"": true, ""priceType"": ""P"", ""price"": 13.99, ""productPromotions"": [{""startDate"": ""2026-07-06T00:00:00"", ""endDate"": ""2026-07-17T23:59:00"", ""promotionSealColor"": ""AMARELO"", ""department"": null, ""percentDiscount"": null, ""paymentFormName"": null, ""promotionQuantityBuy"": null, ""promotionQuantityPayFor"": null, ""promotionNominalPrice"": null, ""unitPrice"": 11.19, ""ruleId"": 154463, ""promotionPercentOffOnUnity"": 1, ""promotionPercentOff"": 20, ""subscriptionPrice"": null, ""appExclusive"": false, ""specialPageUrl"": """", ""isHeterogeneousPromotion"": false}], ""productPromotion"": {""startDate"": ""2026-07-06T00:00:00"", ""endDate"": ""2026-07-17T23:59:00"", ""promotionSealColor"": ""AMARELO"", ""department"": null, ""percentDiscount"": null, ""paymentFormName"": null, ""promotionQuantityBuy"": null, ""promotionQuantityPayFor"": null, ""promotionNominalPrice"": null, ""unitPrice"": 11.19, ""ruleId"": 154463, ""promotionPercentOffOnUnity"": 1, ""promotionPercentOff"": 20, ""subscriptionPrice"": null, ""appExclusive"": false, ""specialPageUrl"": """", ""isHeterogeneousPromotion"": false}, ""sku"": ""1253155"", ""brand"": ""YOKI"", ""productImages"": [""/img/uploads/1/970/33046970.png""], ""urlDetails"": ""https://www.paodeacucar.com/produto/477681/batata-palha-extrafina-yoki-sache-100g"", ""name"": ""Batata Palha Extrafina Yoki Sachê 100g"", ""attributes"": {}, ""sellerName"": ""Pão de Açúcar"", ""storeId"": 461, ""sellType"": ""1P"", ""fromCDNal"": false, ""variableWeight"": false}",1,2026-07-14T12:02:53.826305+00:00
271756,paodeacucar,1619068,Pão de Queijo Pré-Assado Congelado Forno de Minas Receita Caseira Pacote 400g,"{""id"": 1619068, ""stock"": true, ""priceType"": ""P"", ""price"": 24.9, ""productPromotions"": [{""startDate"": ""2026-07-13T00:00:00"", ""endDate"": ""2026-07-16T23:59:00"", ""promotionSealColor"": ""AMARELO"", ""department"": null, ""percentDiscount"": null, ""paymentFormName"": null, ""promotionQuantityBuy"": null, ""promotionQuantityPayFor"": null, ""promotionNominalPrice"": null, ""unitPrice"": 19.92, ""ruleId"": 162824, ""promotionPercentOffOnUnity"": 1, ""promotionPercentOff"": 20, ""subscriptionPrice"": null, ""appExclusive"": false, ""specialPageUrl"": """", ""isHeterogeneousPromotion"": false}], ""productPromotion"": {""startDate"": ""2026-07-13T00:00:00"", ""endDate"": ""2026-07-16T23:59:00"", ""promotionSealColor"": ""AMARELO"", ""department"": null, ""percentDiscount"": null, ""paymentFormName"": null, ""promotionQuantityBuy"": null, ""promotionQuantityPayFor"": null, ""promotionNominalPrice"": null, ""unitPrice"": 19.92, ""ruleId"": 162824, ""promotionPercentOffOnUnity"": 1, ""promotionPercentOff"": 20, ""subscriptionPrice"": null, ""appExclusive"": false, ""specialPageUrl"": """", ""isHeterogeneousPromotion"": false}, ""sku"": ""1386499"", ""brand"": ""FORNO DE MINAS"", ""productImages"": [""/img/uploads/1/622/33055622.png"", ""/img/uploads/1/629/33055629.png""], ""urlDetails"": ""https://www.paodeacucar.com/produto/1619068/pao-de-queijo-pre-assado-congelado-forno-de-minas-receita-caseira-pacote-400g"", ""name"": ""Pão de Queijo Pré-Assado Congelado Forno de Minas Receita Caseira Pacote 400g"", ""attributes"": {}, ""sellerName"": ""Pão de Açúcar"", ""storeId"": 461, ""sellType"": ""1P"", ""fromCDNal"": false, ""variableWeight"": false}",1,2026-07-14T12:02:53.826305+00:00
271757,paodeacucar,428751,Coxa e Sobrecoxa de Pato Congelado VILLA GERMANIA 480g,"{""id"": 428751, ""stock"": true, ""priceType"": ""P"", ""price"": 54.9, ""productPromotions"": [{""startDate"": ""2026-07-13T00:00:00"", ""endDate"": ""2026-07-16T23:59:00"", ""promotionSealColor"": ""AMARELO"", ""department"": null, ""percentDiscount"": null, ""paymentFormName"": null, ""promotionQuantityBuy"": null, ""promotionQuantityPayFor"": null, ""promotionNominalPrice"": null, ""unitPrice"": 41.18, ""ruleId"": 162794, ""promotionPercentOffOnUnity"": 1, ""promotionPercentOff"": 25, ""subscriptionPrice"": null, ""appExclusive"": false, ""specialPageUrl"": """", ""isHeterogeneousPromotion"": false}], ""productPromotion"": {""startDate"": ""2026-07-13T00:00:00"", ""endDate"": ""2026-07-16T23:59:00"", ""promotionSealColor"": ""AMARELO"", ""department"": null, ""percentDiscount"": null, ""paymentFormName"": null, ""promotionQuantityBuy"": null, ""promotionQuantityPayFor"": null, ""promotionNominalPrice"": null, ""unitPrice"": 41.18, ""ruleId"": 162794, ""promotionPercentOffOnUnity"": 1, ""promotionPercentOff"": 25, ""subscriptionPrice"": null, ""appExclusive"": false, ""specialPageUrl"": """", ""isHeterogeneousPromotion"": false}, ""sku"": ""1176313"", ""brand"": ""VILLA GERMÂNIA"", ""productImages"": [""/img/uploads/1/897/33041897.jpg""], ""urlDetails"": ""https://www.paodeacucar.com/produto/428751/coxa-e-sobrecoxa-de-pato-congelado-villa-germania-480g"", ""name"": ""Coxa e Sobrecoxa de Pato Congelado VILLA GERMANIA 480g"", ""attributes"": {}, ""sellerName"": ""Pão de Açúcar"", ""storeId"": 461, ""sellType"": ""1P"", ""fromCDNal"": false, ""variableWeight"": false}",1,2026-07-14T12:02:53.826305+00:00
271758,paodeacucar,467272,"Tira de Costela Suína Congelada Sadia 1,5kg","{""id"": 467272, ""stock"": true, ""priceType"": ""O"", ""price"": 29.85, ""priceFrom"": 37.35, ""productPromotions"": [{""startDate"": ""2026-07-13T09:02:08.985438"", ""endDate"": ""2026-07-15T09:02:08.985438"", ""promotionSealColor"": ""AMARELO"", ""department"": null, ""percentDiscount"": null, ""paymentFormName"": null, ""promotionQuantityBuy"": null, ""promotionQuantityPayFor"": null, ""promotionNominalPrice"": null, ""unitPrice"": 29.85, ""ruleId"": null, ""promotionPercentOffOnUnity"": 1, ""promotionPercentOff"": 20, ""subscriptionPrice"": null, ""appExclusive"": false, ""specialPageUrl"": null, ""isHeterogeneousPromotion"": null}], ""productPromotion"": {""startDate"": ""2026-07-13T09:02:08.985438"", ""endDate"": ""2026-07-15T09:02:08.985438"", ""promotionSealColor"": ""AMARELO"", ""department"": null, ""percentDiscount"": null, ""paymentFormName"": null, ""promotionQuantityBuy"": null, ""promotionQuantityPayFor"": null, ""promotionNominalPrice"": null, ""unitPrice"": 29.85, ""ruleId"": null, ""promotionPercentOffOnUnity"": 1, ""promotionPercentOff"": 20, ""subscriptionPrice"": null, ""appExclusive"": false, ""specialPageUrl"": null, ""isHeterogeneousPromotion"": null}, ""sku"": ""0299152"", ""brand"": ""Brf"", ""productImages"": [""/img/uploads/1/860/33028860.png""], ""urlDetails"": ""https://www.paodeacucar.com/produto/467272/tira-de-costela-suina-congelada-sadia-1,5kg"", ""name"": ""Tira de Costela Suína Congelada Sadia 1,5kg"", ""attributes"": {}, ""sellerName"": ""Pão de Açúcar"", ""storeId"": 461, ""sellType"": ""1P"", ""fromCDNal"": false, ""variableWeight"": true, ""variableWeightPrice"": {""price"": 19.9, ""priceFrom"": 24.9, ""productPromotion"": {""ruleId"": null, ""unitPrice"": 19.9}, ""productPromotions"": [{""ruleId"": null, ""unitPrice"": 19.9}]}}",1,2026-07-14T12:02:53.826305+00:00
271759,paodeacucar,382494,Coxa e Sobrecoxa de Frango Congelada sem Osso Sadia 1kg,"{""id"": 382494, ""stock"": true, ""priceType"": ""O"", ""price"": 17.9, ""priceFrom"": 23.9, ""productPromotions"": [{""startDate"": ""2026-07-13T09:02:08.984817"", ""endDate"": ""2026-07-15T09:02:08.984818"", ""promotionSealColor"": ""AMARELO"", ""department"": null, ""percentDiscount"": null, ""paymentFormName"": null, ""promotionQuantityBuy"": null, ""promotionQuantityPayFor"": null, ""promotionNominalPrice"": null, ""unitPrice"": 17.9, ""ruleId"": null, ""promotionPercentOffOnUnity"": 1, ""promotionPercentOff"": 25, ""subscriptionPrice"": null, ""appExclusive"": false, ""specialPageUrl"": null, ""isHeterogeneousPromotion"": null}], ""productPromotion"": {""startDate"": ""2026-07-13T09:02:08.984817"", ""endDate"": ""2026-07-15T09:02:08.984818"", ""promotionSealColor"": ""AMARELO"", ""department"": null, ""percentDiscount"": null, ""paymentFormName"": null, ""promotionQuantityBuy"": null, ""promotionQuantityPayFor"": null, ""promotionNominalPrice"": null, ""unitPrice"": 17.9, ""ruleId"": null, ""promotionPercentOffOnUnity"": 1, ""promotionPercentOff"": 25, ""subscriptionPrice"": null, ""appExclusive"": false, ""specialPageUrl"": null, ""isHeterogeneousPromotion"": null}, ""sku"": ""1126223"", ""brand"": ""SADIA"", ""productImages"": [""/img/uploads/1/63/33038063.png""], ""urlDetails"": ""https://www.paodeacucar.com/produto/382494/coxa-e-sobrecoxa-de-frango-congelada-sem-osso-sadia-1kg"", ""name"": ""Coxa e Sobrecoxa de Frango Congelada sem Osso Sadia 1kg"", ""attributes"": {}, ""sellerName"": ""Pão de Açúcar"", ""storeId"": 461, ""sellType"": ""1P"", ""fromCDNal"": false, ""variableWeight"": false}",1,2026-07-14T12:02:53.826305+00:00
271760,paodeacucar,1602860,Carne Moída De Patinho Resfriada QUALITÁ 500G,"{""id"": 1602860, ""stock"": true, ""priceType"": ""O"", ""price"": 32.9, ""priceFrom"": 36.9, ""productPromotions"": [{""startDate"": ""2026-07-13T09:02:08.982149"", ""endDate"": ""2026-07-15T09:02:08.982149"", ""promotionSealColor"": ""AMARELO"", ""department"": null, ""percentDiscount"": null, ""paymentFormName"": null, ""promotionQuantityBuy"": null, ""promotionQuantityPayFor"": null, ""promotionNominalPrice"": null, ""unitPrice"": 32.9, ""ruleId"": null, ""promotionPercentOffOnUnity"": 1, ""promotionPercentOff"": 10, ""subscriptionPrice"": null, ""appExclusive"": false, ""specialPageUrl"": null, ""isHeterogeneousPromotion"": null}], ""productPromotion"": {""startDate"": ""2026-07-13T09:02:08.982149"", ""endDate"": ""2026-07-15T09:02:08.982149"", ""promotionSealColor"": ""AMARELO"", ""department"": null, ""percentDiscount"": null, ""paymentFormName"": null, ""promotionQuantityBuy"": null, ""promotionQuantityPayFor"": null, ""promotionNominalPrice"": null, ""unitPrice"": 32.9, ""ruleId"": null, ""promotionPercentOffOnUnity"": 1, ""promotionPercentOff"": 10, ""subscriptionPrice"": null, ""appExclusive"": false, ""specialPageUrl"": null, ""isHeterogeneousPromotion"": null}, ""sku"": ""1370215"", ""brand"": ""QUALITÁ"", ""productImages"": [""/img/uploads/1/773/32898773.jpg""], ""urlDetails"": ""https://www.paodeacucar.com/produto/1602860/carne-moida-de-patinho-resfriada-qualita-500g"", ""name"": ""Carne Moída De Patinho Resfriada QUALITÁ 500G"", ""attributes"": {}, ""sellerName"": ""Pão de Açúcar"", ""storeId"": 461, ""sellType"": ""1P"", ""fromCDNal"": false, ""variableWeight"": false}",1,2026-07-14T12:02:53.826305+00:00
